q1,q2,q3,q4,qd1,qd2,qd3,qd4,qdd1,qdd2,qdd3,qdd4
0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,-0.0,-0.0,-0.0,-0.0
0.010001833634207502,0.020002666693199687,0.030001498701857966,0.03999732938524717,0.9999499804109971,1.9995998532958146,2.998649561165956,3.996799146601286,-0.010001833634207502,-0.08001066677279875,-0.2700134883167217,-0.6399572701639548
0.020002666693199687,0.03999732938524717,0.05997598727776493,0.07993064597664322,0.9997999266479073,1.998399573300643,2.9945994604538546,3.9872017091363845,-0.020002666693199687,-0.1599893175409887,-0.5397838854998844,-1.2788903356262915
0.030001498701857966,0.05997598727776493,0.08989647991878523,0.1197360394281214,0.9995498537219853,1.9963996403025697,2.987853344139217,3.971223047600459,-0.030001498701857966,-0.23990394911105972,-0.8090683192690671,-1.9157766308499424
0.03999732938524717,0.07993064597664322,0.1197360394281214,0.15934980412522357,0.9991997866503215,1.9936008545681922,2.978417285700344,3.948888734670052,-0.03999732938524717,-0.3197225839065729,-1.0776243548530926,-2.549596866003577
0.049989158768682256,0.09985332069097054,0.14946780147247202,0.1987085411412664,0.9987497604533377,1.990004336022398,2.9662997803504068,3.9202345147758897,-0.049989158768682256,-0.39941328276388216,-1.345210213252248,-3.1793366582602625
0.05997598727776493,0.1197360394281214,0.17906499876779094,0.2377492597026765,0.9981998201512848,1.9856115238002294,2.9515117373892688,3.8853062468965387,-0.05997598727776493,-0.4789441577124856,-1.6115849889101186,-3.803988155242824
0.06995681583838025,0.13957084618372287,0.2085009851776738,0.27640947800110605,0.9975500207597386,1.9804241756710197,2.9340664703819264,3.8441598311644767,-0.06995681583838025,-0.5582833847348915,-1.8765088665990641,-4.422551648017697
0.07993064597664322,0.15934980412522357,0.2377492597026765,0.31462732319098735,0.9968004272840961,1.974444367335026,2.913979685172404,3.796861119402023,-0.07993064597664322,-0.6373992165008943,-2.1397433373240884,-5.034037171055798
0.08989647991878523,0.17906499876779094,0.2667834903389674,0.3523416304124866,0.9959511147130724,1.9676744915928457,2.891269465743901,3.7434858097303283,-0.08989647991878523,-0.7162599950711638,-2.401051413050707,-5.637466086599786
0.09985332069097054,0.1987085411412664,0.29557753778483464,0.38949204068137866,0.995002168011199,1.9601172573879448,2.865956257937914,3.684119325420077,-0.09985332069097054,-0.7948341645650656,-2.660197840063512,-6.2318726509020586
0.10980017221903281,0.2182725709469107,0.3241054789737048,0.4260190974891773,0.9939536821103239,1.951775688722683,2.8380628510470003,3.618856678177807,-0.10980017221903281,-0.8730902837876428,-2.916949310763343,-6.816305559826837
0.1197360394281214,0.2377492597026765,0.3523416304124866,0.4618643419589183,0.9928057619001147,1.9426531234482693,2.807614357297746,3.547802316086634,-0.1197360394281214,-0.950997038810706,-3.1710746737123796,-7.389829471342693
0.12965992834224796,0.2571308138757497,0.3802605713042288,0.49697040640430723,0.9915585222175659,1.9327532119291324,2.7746381892424163,3.4710699564447562,-0.12965992834224796,-1.0285232555029988,-3.422345141738059,-7.951526502468916
0.13957084618372287,0.27640947800110605,0.4078371664342745,0.5312811061424965,0.9902120878355098,1.9220799155822383,2.7391640350796367,3.3887824037692487,-0.13957084618372287,-1.1056379120044242,-3.6705344979084704,-8.500497698279943
0.14946780147247202,0.29557753778483464,0.43504658879930735,0.5647415294135514,0.9887665934501356,1.9106375052919427,2.701223831926332,3.3010713532564373,-0.14946780147247202,-1.1823101511393386,-3.915419299193766,-9.035864470616822
0.15934980412522357,0.31462732319098735,0.4618643419589183,0.5972981252626972,0.987222183667513,1.8984305597010116,2.6608517370649754,3.208077180013392,-0.15934980412522357,-1.2585092927639494,-4.156779077630264,-9.556770004203155
0.16921586555455503,0.3335512115107185,0.48826628208956824,0.6288987892446967,0.9855790129891275,1.885463963378491,2.6180840971920425,3.1099487143978553,-0.16921586555455503,-1.334204846042874,-4.394396538806114,-10.062380627915147
0.17906499876779094,0.3523416304124866,0.514228639721093,0.6594929468131957,0.9838372457964228,1.8717429048651641,2.5729594156953484,3.0068430038261655,-0.17906499876779094,-1.4093665216499465,-4.628057757489837,-10.551887149011131
0.1888962184657405,0.3709910609720978,0.5397280411361797,0.6890316342615772,0.9819970563343575,1.857272874597373,2.525518317989739,2.898925061430378,-0.1888962184657405,-1.483964243888391,-4.857552370225617,-11.024506148185235
